Submit Time,Wait Time,Run Time,No. Allocated Processors,Requested Memory,Flavor
1/2/70 2:02 AM,3,960,2,4800,379
1/2/70 2:03 AM,11,331,2,9600,436
1/2/70 2:03 AM,5,1171,4,4800,566
1/2/70 2:04 AM,5,1834,2,3200,358
1/2/70 2:09 AM,4,623,8,32768,623
1/2/70 2:09 AM,3,6096,4,6800,596
1/2/70 2:10 AM,6,27,1,11840,15
1/2/70 2:15 AM,11,363,1,3840,171
1/2/70 2:15 AM,5,33,1,1024,1
1/2/70 2:16 AM,9,7523,1,16384,66
1/2/70 2:18 AM,6,891,1,3200,152
1/2/70 2:19 AM,4,3870,1,3200,152
1/2/70 2:19 AM,4,3860,1,8192,244
1/2/70 2:19 AM,4,4879,4,8192,612
1/2/70 2:27 AM,7,8444,4,3424,545
1/2/70 2:28 AM,5,3330,1,8640,248
1/2/70 2:29 AM,8,365,1,12800,25
1/2/70 2:29 AM,5,374,1,3200,152
1/2/70 2:31 AM,4,5971,1,4096,176
1/2/70 2:34 AM,80,26,1,11840,15
1/2/70 2:35 AM,4,1462,1,1024,1
1/2/70 2:35 AM,5,6558,4,4800,566
1/2/70 2:40 AM,5,553,1,12800,25
1/2/70 2:49 AM,6,15130,8,32768,623
1/2/70 2:51 AM,8,4446,1,3840,171
1/2/70 2:54 AM,3,1175,2,9600,436
1/2/70 2:56 AM,1656,48,1,12800,25
1/2/70 2:57 AM,7,2014,1,1024,1
1/2/70 3:10 AM,3,19,1,2048,89
1/2/70 3:12 AM,4,57,1,2048,89
1/2/70 3:14 AM,4,142,1,2048,89
1/2/70 3:24 AM,7,110,1,2048,89
1/2/70 3:25 AM,3,244,1,12800,25
1/2/70 3:25 AM,3,175,1,2048,89
1/2/70 3:26 AM,70,4492,1,11840,15
1/2/70 3:30 AM,7,74,1,1024,1
1/2/70 3:37 AM,6,58,1,1024,1
1/2/70 3:38 AM,5,390,1,1024,1
1/2/70 3:39 AM,5,33,1,1024,1
1/2/70 3:41 AM,6,144,1,2048,89
1/2/70 3:42 AM,5,43,1,2048,89
1/2/70 3:42 AM,6,86,1,2048,89
1/2/70 3:44 AM,5,21,1,1024,1
1/2/70 3:45 AM,9,28,1,1024,1
1/2/70 3:47 AM,13,41,2,3200,358
1/2/70 3:49 AM,10,618,1,1024,1
1/2/70 3:50 AM,3,5067,4,6800,596
1/2/70 3:52 AM,10,992,1,1024,1
1/2/70 3:52 AM,3,175,2,3200,358
1/2/70 3:52 AM,4,296,4,8192,612
1/2/70 3:56 AM,5,181,1,2048,89
1/2/70 3:56 AM,5,162,1,2048,89
1/2/70 3:59 AM,6,155,1,2048,89
1/2/70 4:02 AM,6,86,1,2048,89
1/2/70 4:04 AM,3,7166,4,8192,612
1/2/70 4:04 AM,5,562,1,1024,1
1/2/70 4:04 AM,3,219,10,32768,262
1/2/70 4:11 AM,13,267,1,2048,89
1/2/70 4:11 AM,5,4621,1,1024,1
1/2/70 4:13 AM,7,137,1,2048,89
1/2/70 4:14 AM,4,185,2,3200,358
1/2/70 4:20 AM,12,1893,1,8192,244
1/2/70 4:22 AM,6,218,1,2048,89
1/2/70 4:22 AM,5,179,1,2048,89
1/2/70 4:27 AM,9215,3644,8,32768,623
1/2/70 4:32 AM,5,23,1,2048,89
1/2/70 4:32 AM,5,5581,2,9600,436
1/2/70 4:34 AM,16,228,1,2048,89
1/2/70 4:36 AM,5,91,1,2048,89
1/2/70 4:42 AM,6,56,1,2048,89
1/2/70 4:43 AM,3,4979,2,9600,436
1/2/70 4:49 AM,6,4773,1,8192,244
1/2/70 4:50 AM,5,30,1,11840,15
1/2/70 4:52 AM,4,5963,1,16384,66
1/2/70 4:53 AM,6,954,2,3200,358
1/2/70 4:53 AM,3,154,10,32768,262
1/2/70 4:55 AM,5,51,1,11840,15
1/2/70 4:58 AM,18,28,1,11840,15
1/2/70 4:58 AM,10,1152,1,1024,1
1/2/70 5:00 AM,5,25,1,1024,1
1/2/70 5:02 AM,5,239,1,2048,89
1/2/70 5:02 AM,4,231,1,2048,89
1/2/70 5:03 AM,5,319,1,1024,1
1/2/70 5:05 AM,5,950,1,4096,176
1/2/70 5:12 AM,13,31,1,11840,15
1/2/70 5:13 AM,3,3931,4,6800,596
1/2/70 5:14 AM,18,984,1,1024,1
1/2/70 5:14 AM,5,67,1,2048,89
1/2/70 5:16 AM,5,2077,1,3840,171
1/2/70 5:16 AM,3,545,4,2400,520
1/2/70 5:32 AM,7,555,4,2400,520
1/2/70 5:41 AM,25,54,1,1024,1
1/2/70 5:43 AM,10,42,1,11840,15
1/2/70 5:46 AM,5,346,1,1024,1
1/2/70 5:51 AM,9,52,1,16000,63
1/2/70 5:52 AM,4,338,4,1024,440
1/2/70 5:53 AM,6,360,1,16000,63
1/2/70 6:02 AM,14,34,1,16000,63
1/2/70 6:03 AM,5,202,1,16000,63
1/2/70 6:04 AM,5,2693,1,1024,1
1/2/70 6:08 AM,15,3392,1,16000,63
1/2/70 6:09 AM,4,55,1,11840,15
1/2/70 6:11 AM,5,5827,1,8192,244
1/2/70 6:12 AM,3,475,4,2400,520
1/2/70 6:14 AM,6,4126,1,3200,152
1/2/70 6:15 AM,6,1804,1,3840,171
1/2/70 6:17 AM,4,5674,4,6800,596
1/2/70 6:23 AM,7,52,1,11840,15
1/2/70 6:27 AM,4,6464,4,2400,520
1/2/70 6:30 AM,7,1789,1,14272,42
1/2/70 6:32 AM,5,762,1,1024,1
1/2/70 6:32 AM,3,7964,1,16384,66
1/2/70 6:41 AM,17,4117,1,3840,171
1/2/70 6:49 AM,22,1750,1,1024,1
1/2/70 6:57 AM,301,604,1,3200,152
1/2/70 7:01 AM,65,284,1,11840,15
1/2/70 7:01 AM,238,1149,1,15040,49
1/2/70 7:02 AM,3,414,4,8192,612
